ticks = 8
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  B 267.20000 2037553 1574174623630   300  2900   267.19000   267.20000
  B 267.22000 2437050 1574174933550   100   100   267.21000   267.23000
  S 266.56680 3589966 1574176059235   500   300   266.56000   266.59000
  B 267.13280 3899622 1574176328404   200   400   267.11000   267.15000
  B 267.36700 4000910 1574176391180   200   200   267.36000   267.37000
  B 266.79000 5334369 1574177915794   200   100   266.78000   266.80000
  S 266.44000 5686913 1574178447423   200   500   266.44000   266.46000
  B 265.89000 6352595 1574179116563   300  1100   265.87000   265.91000
  B 266.35330 7799746 1574181122614   100   300   266.34000   266.36000
  S 266.30000 7971398 1574181409256   100   300   266.30000   266.32000
  B 266.61730 8524292 1574182256081   200   100   266.59000   266.61000
  B 266.47000 8698827 1574182803817   200   500   266.45000   266.47000
  S 266.15000 8772169 1574182965500   200   200   266.15000   266.18000
  B 266.27000 9155930 1574183648474   400   300   266.25000   266.27000
  B 266.37000 9193020 1574183761053   100   600   266.37000   266.39000
  S 265.90000 9742595 1574185395513   300   300   265.90000   265.92000
  S 265.84000 9998546 1574186470051   200   300   265.83000   265.84000
  S 265.70270 10034090 1574186501961   400   300   265.69000   265.71000
  B 266.06560 10506274 1574187961935   200   200   266.06000   266.08000
  B 266.19000 10724007 1574188795467   200   200   266.17000   266.19000
  B 266.38880 10882473 1574189375250   100   200   266.38000   266.39000
  S 266.57180 12418597 1574193206263   300   100   266.57000   266.58000
  B 266.80100 12689603 1574194036114   200   500   266.81000   266.82000
  S 266.88000 12836204 1574194520232   300   200   266.88000   266.89000
  B 266.60000 13538668 1574196095137   200   800   266.59000   266.60000
