ticks = 6
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  S 267.16670 2029276 1574174621216   300  1000   267.15000   267.18000
  B 267.21500 2132332 1574174677644   200   100   267.20000   267.23000
  B 266.84840 2242218 1574174730549  1100   100   266.84000   266.87000
  S 266.87990 2384189 1574174883787   400   100   266.86000   266.88000
  S 267.14600 2432223 1574174930546   200   100   267.14000   267.15000
  B 267.06000 2564331 1574175074990   300   300   267.06000   267.09000
  B 266.97000 2618568 1574175095033   100   100   266.96000   266.97000
  B 266.88000 2652557 1574175112976   100   300   266.88000   266.91000
  S 267.11000 2665956 1574175123773   200   200   267.09000   267.12000
  S 267.02000 2723988 1574175193222   300   200   267.00000   267.02000
  S 267.08000 2739177 1574175205473   400   100   267.05000   267.08000
  B 266.76000 2767420 1574175248689   100   200   266.76000   266.77000
  B 266.90000 2849640 1574175333378   400   200   266.89000   266.92000
  B 266.76000 2928226 1574175454053   100   300   266.76000   266.77000
  S 266.81000 2950869 1574175467453   100   200   266.80000   266.82000
  S 266.90000 3058295 1574175596832   200   200   266.92000   266.95000
  S 266.72000 3111216 1574175659469   100   300   266.70000   266.72000
  B 266.38000 3423704 1574175926879   100   300   266.38000   266.42000
  S 266.55320 3456234 1574175946167   400   200   266.53000   266.56000
  B 266.73000 3575163 1574176041444   100   100   266.71000   266.73000
  B 266.62000 3586513 1574176056415   200   200   266.61000   266.64000
  S 266.97000 3864344 1574176307191   400   600   266.95000   266.97000
  S 267.05000 3887610 1574176325746   200   100   267.02000   267.05000
  S 267.34720 3997772 1574176387297   300   300   267.33000   267.37000
  S 267.63000 4131745 1574176475274   200   100   267.62000   267.65000
  S 267.45500 4340832 1574176645767   300   400   267.43000   267.46000
  B 267.14000 4543553 1574176857806   200   200   267.13000   267.17000
  B 266.96940 4753503 1574177132719   200   300   266.96000   266.98000
  S 266.75680 4856269 1574177280166   200   300   266.75000   266.77000
  B 266.69000 4875862 1574177292990   200   200   266.68000   266.70000
