ticks = 4
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  B 267.09000 2008258 1574174607151   200   300   267.08000   267.10000
  S 267.15000 2025313 1574174616029   100   200   267.15000   267.16000

  B 267.19000 2079463 1574174646817   400   100   267.19000   267.22000
  S 266.98590 2256125 1574174742839   400   100   266.97000   267.00000

  B 266.92000 2276755 1574174766937   200   300   266.92000   266.94000
  S 266.84720 2334526 1574174847145   200   100   266.84000   266.86000

  B 267.21460 2474538 1574174950665   500   200   267.20000   267.23000
  S 267.18000 2519384 1574175009862   100   100   267.16000   267.18000

  B 267.10000 2556365 1574175070914   200   200   267.09000   267.12000
  S 267.07000 2572610 1574175084350   200   200   267.05000   267.07000

  B 267.00500 2587326 1574175092372  2300   100   267.00000   267.01000
  S 267.05000 2663955 1574175121124   300   200   267.03000   267.07000

  B 267.02000 2672800 1574175129379   100   200   267.02000   267.04000
  S 266.87260 2710297 1574175174960   300   100   266.86000   266.88000

  B 266.94990 2754355 1574175233715  1000   300   266.94000   266.95000
  S 266.88990 2830471 1574175313090   200   300   266.88000   266.91000

  B 266.93100 2849164 1574175330064   100   200   266.91000   266.94000
  S 267.04000 2873725 1574175375033   200   100   267.02000   267.04000

  B 266.80680 2923529 1574175450946   200   200   266.80000   266.83000
  S 266.79700 2950324 1574175464672   200   300   266.79000   266.82000

  B 266.73940 2965250 1574175492956   100   100   266.73000   266.75000
  S 266.84680 3052672 1574175593168   200   200   266.83000   266.86000

  B 266.78090 3068087 1574175605494   300   100   266.78000   266.81000
  S 266.68280 3110161 1574175656243   100   200   266.67000   266.71000

  B 266.61000 3169244 1574175759824   200   400   266.62000   266.64000
  S 266.51000 3347624 1574175863884   300   100   266.49000   266.52000

  B 266.48000 3398286 1574175921499   700   400   266.48000   266.50000
  S 266.52800 3450440 1574175944145   300   100   266.51000   266.54000

  B 266.55010 3481678 1574175975310   200   300   266.55000   266.60000
  S 266.70000 3512531 1574175988642   200   300   266.68000   266.71000

  B 266.67000 3528250 1574176000832   100   200   266.67000   266.71000
  S 266.74000 3547729 1574176024214   500   700   266.73000   266.75000

  B 266.76000 3572617 1574176038823   200   100   266.75000   266.76000
  S 266.66000 3668574 1574176148789   100   200   266.63000   266.66000

  B 266.91000 3824344 1574176275349   200   200   266.90000   266.93000
