ticks = 8
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  B 266.56680 3589966 1574176059235   500   300   266.56000   266.59000
  S 267.13280 3899622 1574176328404   200   400   267.11000   267.15000

  B 266.44000 5686913 1574178447423   200   500   266.44000   266.46000
  S 265.89000 6352595 1574179116563   300  1100   265.87000   265.91000

  B 266.30000 7971398 1574181409256   100   300   266.30000   266.32000
  S 266.61730 8524292 1574182256081   200   100   266.59000   266.61000

  B 266.15000 8772169 1574182965500   200   200   266.15000   266.18000
  S 266.27000 9155930 1574183648474   400   300   266.25000   266.27000

  B 265.90000 9742595 1574185395513   300   300   265.90000   265.92000
  S 266.06560 10506274 1574187961935   200   200   266.06000   266.08000

  B 266.57180 12418597 1574193206263   300   100   266.57000   266.58000
  S 266.80100 12689603 1574194036114   200   500   266.81000   266.82000

  B 266.88000 12836204 1574194520232   300   200   266.88000   266.89000
  S 266.60000 13538668 1574196095137   200   800   266.59000   266.60000

