ticks = 5
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  S 267.15250 2028807 1574174617942   200   100   267.15000   267.16000

  B 267.22510 2131410 1574174677029   200   200   267.20000   267.22000
  S 266.99340 2256711 1574174745191   200   300   266.98000   267.01000

  B 267.07000 2557349 1574175073798   100   200   267.05000   267.09000
  S 267.10000 2665620 1574175122191   300   200   267.09000   267.12000

  B 267.01000 2673149 1574175131522   200   100   267.00000   267.02000
  S 266.88000 2710767 1574175176218   300   200   266.86000   266.89000

  B 266.90500 2755812 1574175235486   300   300   266.89000   266.92000
  S 266.80000 2950626 1574175466075   400   200   266.79000   266.81000

  B 266.73250 2969121 1574175494230   100   300   266.73000   266.76000
  S 266.87000 3054528 1574175594900   100   100   266.85000   266.88000

  B 266.45950 3313522 1574175831735   200   200   266.46000   266.47000
  S 266.52000 3357634 1574175868094   200   100   266.50000   266.52000

  B 266.45000 3401365 1574175923023   300   200   266.44000   266.47000
  S 266.54890 3452319 1574175945549   100   200   266.53000   266.56000

  B 266.75400 3573970 1574176040335   200   200   266.75000   266.76000
  S 266.61000 3701533 1574176194371   100   100   266.60000   266.63000

  B 266.90670 3824800 1574176276516   400   200   266.90000   266.93000
  S 266.96000 3861008 1574176305809   200   400   266.95000   266.97000

  B 267.49000 4162447 1574176483257   200   200   267.46000   267.50000
  S 267.44940 4339792 1574176643596   200   400   267.44000   267.46000

  B 267.25000 4536033 1574176854792   100   300   267.25000   267.29000
  S 267.16310 4571854 1574176876979   100   100   267.16000   267.18000

  B 267.05000 4620011 1574176945293   100   200   267.05000   267.07000
  S 267.02100 4800647 1574177180817   200   100   266.99000   267.03000

  B 266.70000 4875224 1574177292414   300   200   266.68000   266.70000
  S 266.89810 4945071 1574177361640   600   200   266.88000   266.90000

  B 266.54000 5075654 1574177473521   100   300   266.54000   266.57000
  S 266.88000 5160787 1574177601881   400   500   266.85000   266.88000

  B 266.68000 5223868 1574177745226  2600   100   266.68000   266.69000
  S 266.83000 5244468 1574177777521  1200  2200   266.83000   266.84000

  B 266.85000 5385252 1574177983974   100   100   266.85000   266.87000
  S 266.92000 5409192 1574178057586   200   100   266.91000   266.94000

  B 266.87430 5415962 1574178066831   400   500   266.86000   266.89000
  S 266.72000 5482753 1574178231349   200   200   266.70000   266.72000

  B 266.60000 5498546 1574178240528   200   100   266.57000   266.59000
  S 266.65950 5505718 1574178250168   200   200   266.65000   266.68000

  B 266.58000 5600207 1574178320708   200   200   266.58000   266.61000
  S 266.38000 5760082 1574178495457   100   200   266.40000   266.43000

  B 266.28940 5774684 1574178521903   100   800   266.27000   266.31000
  S 266.35000 5866022 1574178594449   100   200   266.31000   266.35000

  B 266.37000 5895629 1574178616911   200   100   266.37000   266.39000
  S 266.32000 5981164 1574178730021   300   200   266.29000   266.33000

  B 266.21400 6034683 1574178826420   200   100   266.22000   266.26000
  S 266.25240 6125190 1574178979179   200   200   266.23000   266.27000

  B 265.77500 6359773 1574179126078   300   200   265.76000   265.80000
  S 265.88000 6572994 1574179293206   300   200   265.86000   265.89000

  B 265.84800 6584515 1574179305197   700   100   265.84000   265.86000
  S 265.82000 6650988 1574179369956   300   200   265.80000   265.82000

  B 265.57000 6854327 1574179753397  1100   200   265.57000   265.60000
  S 265.79370 6869934 1574179796018   500   200   265.77000   265.80000

  B 265.73560 6895378 1574179845637   400   200   265.71000   265.75000
  S 265.61000 6977363 1574180041709   400   100   265.60000   265.61000

  B 265.66000 7280936 1574180376221   100   200   265.64000   265.68000
  S 265.82000 7309441 1574180421121   200   100   265.81000   265.83000

  B 266.14800 7653866 1574180911917   200   200   266.13000   266.15000
  S 266.27000 7705450 1574180944066   400   300   266.26000   266.28000

  B 266.23000 7712927 1574180961288   100   300   266.22000   266.23000
  S 266.24000 7775227 1574181087077   300   100   266.22000   266.24000

  B 266.26000 7896791 1574181269289   300   200   266.25000   266.27000
  S 266.33450 7922454 1574181327866   600   100   266.33000   266.35000

  B 266.33000 7969387 1574181401548   300   400   266.31000   266.34000
  S 266.35000 7999844 1574181506004   200   200   266.33000   266.35000

  B 266.60840 8189600 1574181589394   300   100   266.60000   266.62000
  S 266.50990 8269753 1574181679197   100   100   266.49000   266.51000

  B 266.37320 8335268 1574181861553   300   100   266.36000   266.38000
  S 266.43170 8365765 1574181933085   100   200   266.42000   266.44000

  B 266.44000 8393645 1574181954454   100   200   266.41000   266.43000
  S 266.49330 8470286 1574182178706   100   300   266.48000   266.51000

  B 266.43960 8500657 1574182203284   200   200   266.43000   266.45000
  S 266.57770 8521727 1574182251887   500  1400   266.56000   266.58000

