ticks = 6
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  S 267.16670 2029276 1574174621216   300  1000   267.15000   267.18000

  B 267.21500 2132332 1574174677644   200   100   267.20000   267.23000
  S 266.87990 2384189 1574174883787   400   100   266.86000   266.88000

  B 267.06000 2564331 1574175074990   300   300   267.06000   267.09000
  S 267.11000 2665956 1574175123773   200   200   267.09000   267.12000

  B 266.76000 2767420 1574175248689   100   200   266.76000   266.77000
  S 266.81000 2950869 1574175467453   100   200   266.80000   266.82000

  B 266.38000 3423704 1574175926879   100   300   266.38000   266.42000
  S 266.55320 3456234 1574175946167   400   200   266.53000   266.56000

  B 266.73000 3575163 1574176041444   100   100   266.71000   266.73000
  S 266.97000 3864344 1574176307191   400   600   266.95000   266.97000

  B 267.14000 4543553 1574176857806   200   200   267.13000   267.17000
  S 266.75680 4856269 1574177280166   200   300   266.75000   266.77000

  B 266.69000 4875862 1574177292990   200   200   266.68000   266.70000
  S 266.82000 4986191 1574177404484   200   200   266.81000   266.85000

  B 266.53350 5078979 1574177474844   300   600   266.54000   266.59000
  S 266.85990 5250119 1574177778650   400   200   266.84000   266.86000

  B 266.57000 5500476 1574178242073 11800   100   266.55000   266.58000
  S 266.66350 5507583 1574178251464   200   100   266.65000   266.67000

  B 266.51000 5676923 1574178444794  1400   200   266.50000   266.51000
  S 266.40220 5762295 1574178496688   100   100   266.39000   266.41000

  B 266.27000 5776069 1574178523125   300   600   266.26000   266.28000
  S 266.29990 6028840 1574178814373   600   200   266.24000   266.28000

  B 266.13000 6045447 1574178843112   500   300   266.13000   266.14000
  S 266.26600 6125494 1574178980390   200   200   266.23000   266.27000

  B 265.73400 6897379 1574179846242   100   100   265.73000   265.76000
  S 265.66620 6980271 1574180043119   400   200   265.65000   265.67000

  B 266.13000 7654091 1574180913254   100   100   266.13000   266.15000
  S 266.32000 7795925 1574181118426  1000   300   266.30000   266.32000

  B 266.25010 7897900 1574181273725   300   200   266.25000   266.27000
  S 266.35000 7923169 1574181331755   200   300   266.34000   266.36000

  B 266.32000 7969562 1574181402658   400   200   266.30000   266.32000
  S 266.52690 8270412 1574181682615   400   100   266.49000   266.53000

  B 266.40000 8395040 1574181955829   100   100   266.39000   266.42000
  S 266.49820 8470436 1574182181333   300   100   266.48000   266.51000

  B 266.40000 8562011 1574182337339   300   100   266.40000   266.43000
  S 266.48000 8565792 1574182362331   100   200   266.46000   266.48000

  B 266.34120 8647884 1574182673162   200   100   266.33000   266.35000
  S 266.43000 8697514 1574182801379   300   100   266.42000   266.44000

  B 266.37000 8712934 1574182815941   100   100   266.36000   266.38000
  S 266.17000 9091519 1574183430202   200   100   266.16000   266.17000

  B 265.94000 9736252 1574185360197   200   100   265.94000   265.96000
  S 265.89000 9779113 1574185497527   200   200   265.88000   265.90000

  B 265.88160 9875946 1574185855287   200   200   265.88000   265.90000
  S 265.87000 10108949 1574186714269   200   100   265.86000   265.88000

  B 265.75000 10174599 1574186898978   300   200   265.75000   265.77000
  S 266.00000 10244230 1574187092271   400   100   266.00000   266.01000

  B 266.05000 10568098 1574188217722  3000   300   266.07000   266.08000
  S 266.15870 10723455 1574188792578   500   200   266.14000   266.16000

  B 266.21940 10799782 1574189062055   300   100   266.21000   266.23000
  S 266.37200 10881915 1574189365038   300   300   266.36000   266.39000

  B 266.36730 10922896 1574189475631   300   200   266.36000   266.38000
  S 266.50000 11048781 1574189914082   400   300   266.49000   266.50000

  B 266.88980 11299596 1574190453118   100   200   266.87000   266.89000
  S 267.12000 11793688 1574191629987   400   200   267.11000   267.14000

  B 266.99020 11862613 1574191761776   300   100   266.99000   267.00000
  S 267.02010 11913641 1574191903056   300   200   267.02000   267.04000

  B 266.96000 11957473 1574192039322   100   200   266.96000   266.97000
  S 266.83000 12293742 1574192963873   100   100   266.82000   266.84000

  B 266.59000 12416817 1574193202468   100   200   266.58000   266.60000
  S 266.68440 12478848 1574193370995   400   500   266.67000   266.70000

  B 266.71000 12640378 1574193833630  1400   100   266.70000   266.71000
  S 266.77000 12680371 1574194015312   200   200   266.76000   266.78000

  B 266.90000 12835652 1574194517750   200   200   266.89000   266.91000
  S 266.91000 12898858 1574194755492   200   600   266.90000   266.92000

