ticks = 4
------------------------------------------------------------------------
  X PRICE     VOLUME  TIME            BIDs  ASKs  BIDp        ASKp
------------------------------------------------------------------------
  B 267.09000 2008258 1574174607151   200   300   267.08000   267.10000
  S 267.15000 2025313 1574174616029   100   200   267.15000   267.16000
  S 267.20000 2037553 1574174623630   300  2900   267.19000   267.20000
  B 267.19000 2079463 1574174646817   400   100   267.19000   267.22000
  B 267.34000 2119039 1574174664567   100   200   267.33000   267.35000
  B 267.30000 2127640 1574174675759   100   200   267.26000   267.29000
  B 267.06010 2150364 1574174700274   100   200   267.05000   267.07000
  B 266.98000 2220013 1574174728150   200   100   266.95000   266.99000
  S 266.98590 2256125 1574174742839   400   100   266.97000   267.00000
  B 266.92000 2276755 1574174766937   200   300   266.92000   266.94000
  S 266.84720 2334526 1574174847145   200   100   266.84000   266.86000
  S 266.81000 2381477 1574174880608   200   200   266.81000   266.82000
  S 266.99560 2399892 1574174902221   400  1500   266.97000   267.00000
  S 267.06000 2413919 1574174909538   200   200   267.06000   267.08000
  S 267.10980 2428997 1574174927556   400   200   267.09000   267.12000
  S 267.22000 2437050 1574174933550   100   100   267.21000   267.23000
  B 267.21460 2474538 1574174950665   500   200   267.20000   267.23000
  B 267.15000 2501334 1574174983676   700   300   267.13000   267.16000
  S 267.18000 2519384 1574175009862   100   100   267.16000   267.18000
  S 267.23210 2526348 1574175020914   300   100   267.21000   267.24000
  S 267.30000 2530462 1574175028449   200   100   267.27000   267.30000
  B 267.10000 2556365 1574175070914   200   200   267.09000   267.12000
  S 267.07000 2572610 1574175084350   200   200   267.05000   267.07000
  B 267.00500 2587326 1574175092372  2300   100   267.00000   267.01000
  B 266.92000 2628140 1574175110385   200   300   266.91000   266.93000
  S 267.05000 2663955 1574175121124   300   200   267.03000   267.07000
  B 267.02000 2672800 1574175129379   100   200   267.02000   267.04000
  B 266.84000 2702975 1574175166730   300   200   266.82000   266.85000
  S 266.87260 2710297 1574175174960   300   100   266.86000   266.88000
  S 266.94000 2713793 1574175182783   200   100   266.93000   266.95000
  S 266.93000 2717526 1574175190957   100   300   266.93000   266.95000
  S 267.01000 2735763 1574175201590   200   100   267.01000   267.04000
  B 266.94990 2754355 1574175233715  1000   300   266.94000   266.95000
  B 266.88000 2757850 1574175243103   400   200   266.88000   266.91000
  B 266.77170 2792934 1574175274176   400   100   266.77000   266.79000
